Episode 257, Agent: 0, Score: 0, Epsilon: 0.6799
Episode 258, Agent: 0, Score: 0, Epsilon: 0.6789
Episode 259, Agent: 0, Score: 0, Epsilon: 0.6779
Episode 260, Agent: 0, Score: 0, Epsilon: 0.6769
Episode 261, Agent: 0, Score: 0, Epsilon: 0.6758
Episode 262, Agent: 0, Score: 0, Epsilon: 0.6748
Episode 263, Agent: 0, Score: 0, Epsilon: 0.6738
Episode 264, Agent: 0, Score: 0, Epsilon: 0.6728
Episode 265, Agent: 0, Score: 0, Epsilon: 0.6718
Episode 266, Agent: 0, Score: 0, Epsilon: 0.6708
Episode 267, Agent: 0, Score: 0, Epsilon: 0.6698
Episode 268, Agent: 0, Score: 0, Epsilon: 0.6688
Episode 269, Agent: 0, Score: 0, Epsilon: 0.6678
Episode 270, Agent: 0, Score: 0, Epsilon: 0.6668
Episode 271, Agent: 0, Score: 1, Epsilon: 0.6658
Episode 272, Agent: 0, Score: 0, Epsilon: 0.6648
Episode 273, Agent: 0, Score: 0, Epsilon: 0.6638
Episode 274, Agent: 0, Score: 0, Epsilon: 0.6628
Episode 275, Agent: 0, Score: 0, Epsilon: 0.6618
Episode 276, Agent: 0, Score: 0, Epsilon: 0.6608
Episode 277, Agent: 0, Score: 0, Epsilon: 0.6598
Episode 278, Agent: 0, Score: 1, Epsilon: 0.6588
Episode 279, Agent: 0, Score: 0, Epsilon: 0.6578
Episode 280, Agent: 0, Score: 0, Epsilon: 0.6568
Episode 281, Agent: 0, Score: 0, Epsilon: 0.6559
Episode 282, Agent: 0, Score: 1, Epsilon: 0.6549
Episode 283, Agent: 0, Score: 0, Epsilon: 0.6539
Episode 284, Agent: 0, Score: 0, Epsilon: 0.6529
Episode 285, Agent: 0, Score: 0, Epsilon: 0.6519
Episode 286, Agent: 0, Score: 0, Epsilon: 0.6510
Episode 287, Agent: 0, Score: 0, Epsilon: 0.6500
Episode 288, Agent: 0, Score: 0, Epsilon: 0.6490
Episode 289, Agent: 0, Score: 0, Epsilon: 0.6480
Episode 290, Agent: 0, Score: 0, Epsilon: 0.6471
Episode 291, Agent: 0, Score: 0, Epsilon: 0.6461
Episode 292, Agent: 0, Score: 0, Epsilon: 0.6451
Episode 293, Agent: 0, Score: 0, Epsilon: 0.6441
Episode 294, Agent: 0, Score: 0, Epsilon: 0.6432
Episode 295, Agent: 0, Score: 0, Epsilon: 0.6422
Episode 296, Agent: 0, Score: 0, Epsilon: 0.6413
Episode 297, Agent: 0, Score: 0, Epsilon: 0.6403
Episode 298, Agent: 0, Score: 0, Epsilon: 0.6393
Episode 299, Agent: 0, Score: 0, Epsilon: 0.6384
Episode 300, Agent: 0, Score: 0, Epsilon: 0.6374
Episode 301, Agent: 0, Score: 0, Epsilon: 0.6365
Episode 302, Agent: 0, Score: 0, Epsilon: 0.6355
Episode 303, Agent: 0, Score: 1, Epsilon: 0.6345
Episode 304, Agent: 0, Score: 0, Epsilon: 0.6336
Episode 305, Agent: 0, Score: 0, Epsilon: 0.6326
Episode 306, Agent: 0, Score: 1, Epsilon: 0.6317
Episode 307, Agent: 0, Score: 0, Epsilon: 0.6307
Episode 308, Agent: 0, Score: 0, Epsilon: 0.6298
Episode 309, Agent: 0, Score: 0, Epsilon: 0.6289
Episode 310, Agent: 0, Score: 0, Epsilon: 0.6279
Episode 311, Agent: 0, Score: 0, Epsilon: 0.6270
Episode 312, Agent: 0, Score: 0, Epsilon: 0.6260
Episode 313, Agent: 0, Score: 0, Epsilon: 0.6251
Episode 314, Agent: 0, Score: 0, Epsilon: 0.6242
Episode 315, Agent: 0, Score: 0, Epsilon: 0.6232
Episode 316, Agent: 0, Score: 0, Epsilon: 0.6223
Episode 317, Agent: 0, Score: 1, Epsilon: 0.6214
Episode 318, Agent: 0, Score: 0, Epsilon: 0.6204
Episode 319, Agent: 0, Score: 0, Epsilon: 0.6195
Episode 320, Agent: 0, Score: 1, Epsilon: 0.6186
Episode 321, Agent: 0, Score: 0, Epsilon: 0.6176
Episode 322, Agent: 0, Score: 0, Epsilon: 0.6167
Episode 323, Agent: 0, Score: 0, Epsilon: 0.6158
Episode 324, Agent: 0, Score: 0, Epsilon: 0.6149
Episode 325, Agent: 0, Score: 0, Epsilon: 0.6139
Episode 326, Agent: 0, Score: 0, Epsilon: 0.6130
Episode 327, Agent: 0, Score: 0, Epsilon: 0.6121
Episode 328, Agent: 0, Score: 0, Epsilon: 0.6112
Episode 329, Agent: 0, Score: 0, Epsilon: 0.6103
Episode 330, Agent: 0, Score: 0, Epsilon: 0.6093
Episode 331, Agent: 0, Score: 0, Epsilon: 0.6084
Episode 332, Agent: 0, Score: 0, Epsilon: 0.6075
Episode 333, Agent: 0, Score: 0, Epsilon: 0.6066
Episode 334, Agent: 0, Score: 0, Epsilon: 0.6057
Episode 335, Agent: 0, Score: 0, Epsilon: 0.6048
Episode 336, Agent: 0, Score: 0, Epsilon: 0.6039
Episode 337, Agent: 0, Score: 0, Epsilon: 0.6030
Episode 338, Agent: 0, Score: 0, Epsilon: 0.6021
Episode 339, Agent: 0, Score: 0, Epsilon: 0.6012
Episode 340, Agent: 0, Score: 0, Epsilon: 0.6003
Episode 341, Agent: 0, Score: 0, Epsilon: 0.5994
Episode 342, Agent: 0, Score: 0, Epsilon: 0.5985
Episode 343, Agent: 0, Score: 0, Epsilon: 0.5976
Episode 344, Agent: 0, Score: 0, Epsilon: 0.5967
Episode 345, Agent: 0, Score: 0, Epsilon: 0.5958
Episode 346, Agent: 0, Score: 0, Epsilon: 0.5949
Episode 347, Agent: 0, Score: 0, Epsilon: 0.5940
Episode 348, Agent: 0, Score: 0, Epsilon: 0.5931
Episode 349, Agent: 0, Score: 0, Epsilon: 0.5922
Episode 350, Agent: 0, Score: 0, Epsilon: 0.5913
Episode 351, Agent: 0, Score: 0, Epsilon: 0.5904
Episode 352, Agent: 0, Score: 0, Epsilon: 0.5895
Episode 353, Agent: 0, Score: 1, Epsilon: 0.5887
Episode 354, Agent: 0, Score: 0, Epsilon: 0.5878
Episode 355, Agent: 0, Score: 0, Epsilon: 0.5869
Episode 356, Agent: 0, Score: 0, Epsilon: 0.5860
Episode 357, Agent: 0, Score: 0, Epsilon: 0.5851
Episode 358, Agent: 0, Score: 0, Epsilon: 0.5843
Episode 359, Agent: 0, Score: 0, Epsilon: 0.5834
Episode 360, Agent: 0, Score: 0, Epsilon: 0.5825
Episode 361, Agent: 0, Score: 0, Epsilon: 0.5816
Episode 362, Agent: 0, Score: 0, Epsilon: 0.5808
Episode 363, Agent: 0, Score: 1, Epsilon: 0.5799
Episode 364, Agent: 0, Score: 1, Epsilon: 0.5790
Episode 365, Agent: 0, Score: 1, Epsilon: 0.5782
Episode 366, Agent: 0, Score: 0, Epsilon: 0.5773
Episode 367, Agent: 0, Score: 1, Epsilon: 0.5764
Episode 368, Agent: 0, Score: 0, Epsilon: 0.5756
Episode 369, Agent: 0, Score: 0, Epsilon: 0.5747
Episode 370, Agent: 0, Score: 0, Epsilon: 0.5738
Episode 371, Agent: 0, Score: 0, Epsilon: 0.5730
Episode 372, Agent: 0, Score: 1, Epsilon: 0.5721
Episode 373, Agent: 0, Score: 0, Epsilon: 0.5713
Episode 374, Agent: 0, Score: 0, Epsilon: 0.5704
